t,complexity
552.0,459.20926633546657
552.5,459.64753736847763
553.0,460.058929780504
553.5,460.4296712398769
554.0,460.71958556942076
554.5,460.9404737148013
555.0,461.1818021198113
555.5,461.4734220102715
556.0,461.7181317327751
556.5,461.98858380819377
557.0,462.2383181660342
557.5,462.4160493662085
558.0,462.560003321558
558.5,462.644807544963
559.0,462.71012135785946
559.5,462.8060667034058
560.0,462.8737172620836
560.5,462.93583402137983
561.0,463.0258834923426
561.5,463.132988072016
562.0,463.20086706812043
562.5,463.2310163969657
563.0,463.288198702025
563.5,463.3147345885887
564.0,463.3023614682963
564.5,463.2692548412439
565.0,463.213598292061
565.5,463.12555922328306
566.0,462.9825125940985
566.5,462.770547550706
567.0,462.56640574994645
567.5,462.402319564719
568.0,462.280850618716
568.5,462.19422837723226
569.0,462.13590718271934
569.5,462.05390545260946
570.0,461.9623236757535
570.5,461.8997143094759
571.0,461.7894776984251
571.5,461.58266679925515
572.0,461.27151109289025
572.5,460.8368395320641
573.0,460.33697364216937
573.5,459.79780356001663
574.0,459.2772903335701
574.5,458.79387524306037
575.0,458.35772199584443
575.5,458.0007614914486
576.0,457.73470164913795
576.5,457.5638480211273
577.0,457.3880946930135
577.5,457.1417382497087
578.0,456.8520272364014
578.5,456.52582314963115
579.0,456.14229715340764
579.5,455.72168189610187
580.0,455.27470071613845
580.5,454.82187499846015
581.0,454.379421175318
581.5,453.9282192713386
582.0,453.41843198058376
582.5,452.8755703775759
583.0,452.3495305765332
583.5,451.762124250868
584.0,451.116867535683
